name,lmstar,hi_def,distMS,trunc_rad_ratio,r_r200,SFR_ha,SFR_fuv,logSFR_diff,sSFR_ha,sSFR_fuv,A1_glob,grad_grad_err
VCC1326,9.595,2.7710000000000004,-0.6833,0.722249280032053,0.2688,0.026662829497866105,0.025008242988398946,0.027823055034252395,-11.169093764520637,-11.19691681955489,0.1303160765910767,0.0
VCC1401,10.92,0.5466,-0.3255,0.8915767741385615,0.6067,1.7231446111757835,1.258269699366101,0.1365479877995445,-10.683678273799648,-10.820226261599192,0.3342102510836237,1.1655664789057507
VCC1516,9.549,0.9299,-0.1917,0.8914270141761278,0.9749,0.1313455791475184,0.21847446774019247,-0.22098523015953764,-10.430584540191566,-10.20959931003203,1.8501440000092297,0.3661947379273351
VCC1555,10.53,0.1552,-0.1885,0.7954068410956759,1.268,1.5198720323180535,1.502870165380802,0.004885560446739498,-10.348192976527397,-10.353078536974136,0.10675702308962354,-11.47421839121427
VCC1727,10.9,0.971,-0.9129,0.842135288429445,0.5381,0.7858591423913089,0.3700845976952891,0.32704369909452335,-11.004655290047431,-11.331698989141954,0.06310122085994696,1.9139366370910667
VCC393,9.562999999999999,0.5994,0.1352,0.5157648122163906,1.6,0.04163949979769871,0.05224144505408056,-0.09850967765575641,-10.943494496174086,-10.844984818518329,0.10348740449519273,-1.0233311114344523
VCC483,10.09,0.6302,0.02194,0.686217423358946,0.9493,0.6007677913236834,1.075686528559192,-0.25297908874187874,-10.311293359002148,-10.058314270260269,0.3402983822339478,-0.8019039522749528
VCC497,10.11,0.4701,-0.8492,nan,0.9391,0.6007569858496611,1.075603516081093,-0.2529533835748676,-10.331301170339593,-10.078347786764725,0.3472859642744586,1.05518503807016
VCC596,10.83,0.4116,-0.1496,0.5660405625479121,1.172,3.0079127041938296,2.8144058254869626,0.028878506931921295,-10.351734772015586,-10.380613278947507,0.21047905686228496,-0.07255935234546987
VCC692,9.706,1.036,-0.7878,0.61606199275993,0.5061,0.089421707494474,0.14406714187972727,-0.20712198197212595,-10.754557041598964,-10.547435059626839,0.23033863576840288,-0.3037938854050179
VCC792,10.41,1.0959999999999999,-0.6694,0.7493046384387165,0.8104,0.15658142327406976,0.1449557910012654,0.03350466618751175,-11.215259763658166,-11.248764429845677,0.16675060296457356,0.7350532724888998
VCC836,10.19,0.9311,0.03398,0.9349838503622935,0.3818,1.0983044113680887,0.6793595624430241,0.208623035190964,-10.149277272040278,-10.357900307231242,0.17307928924613375,4.598451930953391
VCC89,10.38,0.1569,-0.03298,nan,1.297,0.3350376229596194,0.47029901524112655,-0.14728049062087525,-10.854906421242843,-10.707625930621969,0.14846400250210673,-2.909379789625189
VCC92,10.67,0.2047,-0.2092,nan,1.462,1.1371986870853585,0.7150182886370486,0.20151919935233378,-10.614163650381448,-10.815682849733783,0.6462895396470498,-1.9416159766139625
VCC979,10.23,1.3530000000000002,-0.3406,0.7857797861692324,0.9194,0.19558027301483438,0.11205651315217009,0.24188794357678836,-10.938674951965872,-11.18056289554266,0.3836340968431745,nan
