name,lmstar,hi_def,distMS,trunc_rad_ratio,r_r200,SFR_ha,SFR_fuv,logSFR_diff,sSFR_ha,sSFR_fuv,A1_glob,grad_grad_err
VCC1002,9.971,0.5576,-0.012329999999999999,0.4661367655387475,1.831,0.2028095008865434,nan,nan,-10.663911703747237,nan,0.23408833777361293,-0.521049471254819
VCC1043,10.74,1.27,-0.2117,0.9687160747693173,0.2912,0.40412531636190296,nan,nan,-11.133483942400987,nan,0.1742117607006326,-2.0362481569646786
VCC1086,9.828,1.568,-0.6438,0.8807545675621078,0.8948,0.03352438908604792,nan,nan,-11.30263912753977,nan,0.8950950334669585,-0.5217887201796992
VCC1118,9.771,0.9009999999999999,-0.1193,0.6632178428181087,0.9405,0.14404605696822548,nan,nan,-10.612498625341772,nan,0.35484249301583537,1.1010808263969853
VCC1190,10.61,2.815,-1.367,0.8545301250016569,1.082,0.03861017539016363,nan,nan,-12.02329822555007,nan,0.33955160358417447,-0.5199493307137827
VCC1326,9.595,2.7710000000000004,-0.6833,0.722249280032053,0.2688,0.026650059004527615,nan,nan,-11.169301825087226,nan,0.37278027720316126,nan
VCC135,9.544,2.363,-0.7882,0.7460076895769427,1.168,0.01655656100900655,nan,nan,-11.325029866217404,nan,0.0,1.211582391996751
VCC1401,10.92,0.5466,-0.3255,0.8915767741385615,0.6067,1.7231059733978094,nan,nan,-10.683688012019987,nan,0.5358939233808677,0.41430797383443085
VCC145,9.652999999999999,0.2679,-0.1797,nan,1.165,0.16832803675903618,nan,nan,-10.426843541804049,nan,0.30007909790870135,-4.512471739362025
VCC1508,9.505,0.06947,0.2827,0.787910862490213,1.124,0.3985499945702653,nan,nan,-9.904517192450749,nan,0.3865866638312353,-0.58861165542118
VCC1516,9.549,0.9299,-0.1917,0.8914270141761278,0.9749,0.1313179420489963,nan,nan,-10.43067593194154,nan,1.2460452983185402,-0.11756867470785082
VCC1535,10.98,0.4796,-1.561,0.8579713987258777,1.409,0.19586652842530528,nan,nan,-11.688039774123645,nan,0.528033275663407,1.5650755296742733
VCC1552,10.04,3.218,-1.261,0.8183995815429935,0.3254,0.05020570674472028,nan,nan,-11.339246914988856,nan,0.38427233300149766,nan
VCC1555,10.53,0.1552,-0.1885,0.7954068410956759,1.268,1.519810768872177,nan,nan,-10.348210482549066,nan,0.10143147552261945,-2.8672974702798277
VCC1673,10.07,0.284,-0.2124,0.9683899637778994,0.5401,1.8255890279019065,nan,nan,-9.808596983101133,nan,0.15015946674838992,-3.493682250915125
VCC1676,10.31,0.7202,0.1633,1.178761121034352,0.5451,1.809748984827969,nan,nan,-10.052381658315337,nan,0.5666208457396491,0.8325899044357816
VCC167,10.93,0.588,-0.6791,nan,1.127,0.47839024324659957,nan,nan,-11.25021768635111,nan,0.4843516057043932,-4.339742790960439
VCC1690,10.74,1.07,-0.4134,2.171005342822504,0.4998,0.5368416209546393,nan,nan,-11.010153820986954,nan,0.4838318508639268,2.022222643329938
VCC1727,10.9,0.971,-0.9129,0.842135288429445,0.5381,0.7858995673020426,nan,nan,-11.004632950338976,nan,0.13936723477833401,2.0051642283015703
VCC199,10.73,0.9198,-1.587,0.7411551448286523,1.801,0.04289138611009897,nan,nan,-12.097629918548986,nan,0.0,-0.05566925877046379
VCC222,10.67,2.766,-1.266,0.849319554502835,1.841,0.07293281014622024,nan,nan,-11.807077052479995,nan,0.0,nan
VCC226,9.975,1.025,0.04506,0.7266850251984942,1.331,0.16805716288471098,nan,nan,-10.749542972423841,nan,0.39069254345210114,0.5672689050826556
VCC307,10.52,0.061,0.3129,1.2391965540180216,1.071,4.01634167235103,nan,nan,-9.916169348625777,nan,0.09835628923492128,0.5973482512550208
VCC393,9.562999999999999,0.5994,0.1352,0.5157648122163906,1.6,0.04163372306648809,nan,nan,-10.943554750897176,nan,0.1036481783345375,-1.1192414181369736
VCC47,9.82,0.9209,-0.4528,1.2087508879427595,1.401,0.03857494834278169,nan,nan,-11.233694646845109,nan,0.12183486053145529,1.8225409092902742
VCC483,10.09,0.6302,0.02194,0.686217423358946,0.9493,0.600729632599033,nan,nan,-10.311320944785068,nan,0.3119744676274888,0.67548419525269
VCC497,10.11,0.4701,-0.8492,nan,0.9391,0.6007210734242061,nan,nan,-10.33132713264176,nan,0.3312782782170861,0.4133315093184604
VCC524,10.21,1.561,-0.5075,0.7844375384909135,1.183,0.08701929460789352,nan,nan,-11.270384441488499,nan,0.31228578805702395,-1.2132533433773613
VCC534,9.875,1.8130000000000002,-1.236,0.609094589312341,1.679,0.022153909900444923,nan,nan,-11.52954961488847,nan,0.415151150164486,2.2391447762243217
VCC559,9.913,1.62,-0.3922,0.8251673391150413,1.1159999999999999,0.14838776671237824,nan,nan,-10.741601901404046,nan,0.3698164692845415,1.7656848286114946
VCC570,10.01,1.597,-1.088,0.7805264698073571,0.63,0.09732635161032722,nan,nan,-11.021769556345163,nan,0.69885275787669,1.9943240566326155
VCC576,9.825,0.3382,0.1328,1.0335696821160014,1.087,0.1589524576286313,nan,nan,-10.62373275289358,nan,0.7963774313175733,-2.4883454882294007
VCC596,10.83,0.4116,-0.1496,0.5660405625479121,1.172,3.0078650987246434,nan,nan,-10.351741645538263,nan,0.16107235188060726,1.4199772545279894
VCC613,10.17,0.7408,-0.8257,0.8476818637585966,2.189,0.07006149963237718,nan,nan,-11.32452057105635,nan,0.0,1.1833807768578137
